trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
1,07:31:00,07:31:00,87,1,,0,0,1
1,07:38:00,07:38:00,20,2,,0,0,1
1,07:49:00,07:49:00,8,3,,0,0,1
1,07:57:00,07:57:00,19,4,,0,0,1
1,08:05:00,08:05:00,18,5,,0,0,1
1,08:13:00,08:13:00,17,6,,0,0,1
1,08:16:00,08:16:00,4,7,,0,0,1
2,07:49:00,07:49:00,87,1,,0,0,1
2,07:56:00,07:56:00,20,2,,0,0,1
2,08:07:00,08:07:00,8,3,,0,0,1
2,08:15:00,08:15:00,19,4,,0,0,1
2,08:23:00,08:23:00,18,5,,0,0,1
2,08:31:00,08:31:00,17,6,,0,0,1
2,08:34:00,08:34:00,4,7,,0,0,1
5,08:09:00,08:09:00,87,1,,0,0,1
5,08:16:00,08:16:00,20,2,,0,0,1
5,08:27:00,08:27:00,8,3,,0,0,1
5,08:35:00,08:35:00,19,4,,0,0,1
5,08:43:00,08:43:00,18,5,,0,0,1
5,08:51:00,08:51:00,17,6,,0,0,1
5,08:54:00,08:54:00,4,7,,0,0,1
9,08:37:00,08:37:00,87,1,,0,0,1
9,08:44:00,08:44:00,11,2,,0,0,1
9,08:58:00,08:58:00,23,3,,0,0,1
11,08:29:00,08:29:00,87,1,,0,0,1
11,08:36:00,08:36:00,20,2,,0,0,1
11,08:47:00,08:47:00,8,3,,0,0,1
11,08:55:00,08:55:00,19,4,,0,0,1
11,09:03:00,09:03:00,18,5,,0,0,1
11,09:11:00,09:11:00,17,6,,0,0,1
11,09:14:00,09:14:00,4,7,,0,0,1
12,09:27:00,09:27:00,87,1,,0,0,1
12,09:34:00,09:34:00,11,2,,0,0,1
12,09:48:00,09:48:00,23,3,,0,0,1
14,08:49:00,08:49:00,87,1,,0,0,1
14,08:56:00,08:56:00,20,2,,0,0,1
14,09:07:00,09:07:00,8,3,,0,0,1
14,09:15:00,09:15:00,19,4,,0,0,1
14,09:23:00,09:23:00,18,5,,0,0,1
14,09:31:00,09:31:00,17,6,,0,0,1
14,09:34:00,09:34:00,4,7,,0,0,1
15,09:11:00,09:11:00,87,1,,0,0,1
15,09:18:00,09:18:00,20,2,,0,0,1
15,09:29:00,09:29:00,8,3,,0,0,1
15,09:37:00,09:37:00,19,4,,0,0,1
15,09:45:00,09:45:00,18,5,,0,0,1
15,09:53:00,09:53:00,17,6,,0,0,1
15,09:56:00,09:56:00,4,7,,0,0,1
16,09:31:00,09:31:00,87,1,,0,0,1
