route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
"ER",1,1,"Hunters Point South",1102,1,11,82
"ER",1,2,"Hunters Point South",1202,1,12,82
"ER",1,5,"Hunters Point South",1303,1,13,82
"SB",1,9,"Bay Ridge Limited",3206,0,32,79
"ER",1,11,"Hunters Point South",1403,1,14,82
"SB",1,12,"Bay Ridge Limited",3208,0,32,79
"ER",1,14,"Hunters Point South",1503,1,15,82
"ER",1,15,"Hunters Point South",1104,1,11,82
"ER",1,16,"Hunters Point South",1204,1,12,82
"ER",1,17,"Hunters Point South",1305,1,13,82
"ER",1,18,"Hunters Point South",1505,1,15,82
"ER",1,19,"Hunters Point South",1206,1,12,82
"ER",1,22,"Hunters Point South",1307,1,13,82
"ER",1,23,"Hunters Point South",1507,1,15,82
"ER",1,24,"Hunters Point South",1208,1,12,82
"ER",1,28,"Hunters Point South",1309,1,13,82
"ER",1,29,"Hunters Point South",1509,1,15,82
"ER",1,30,"Hunters Point South",1210,1,12,82
"ER",1,31,"Hunters Point South",1311,1,13,82
"ER",1,32,"Hunters Point South",1511,1,15,82
"ER",1,33,"Hunters Point South",1106,1,11,82
"ER",1,34,"Hunters Point South",1212,1,12,82
"ER",1,39,"Hunters Point South",1405,1,14,82
"ER",1,40,"Hunters Point South",1301,1,13,82
"ER",1,41,"Hunters Point South",1401,1,14,82
"ER",1,42,"Hunters Point South",1501,1,15,82
"ER",1,88,"Hunters Point South",1313,1,13,82
"ER",1,89,"Hunters Point South",1513,1,15,82
"ER",1,90,"Hunters Point South",1108,1,11,82
"ER",1,91,"Hunters Point South",1214,1,12,82
"ER",1,92,"Hunters Point South",1407,1,14,82
"ER",1,93,"Hunters Point South",1315,1,13,82
"ER",1,94,"Hunters Point South",1515,1,15,82
"ER",1,95,"Hunters Point South",1216,1,12,82
"ER",1,96,"Wall St./Pier 11",1103,0,11,81
"ER",1,97,"Wall St./Pier 11",1203,0,12,81
"ER",1,121,"Wall St./Pier 11",1101,0,11,81
"ER",1,125,"Wall St./Pier 11",1304,0,13,81
"ER",1,126,"Wall St./Pier 11",1404,0,14,81
"ER",1,127,"Wall St./Pier 11",1504,0,15,81
"ER",1,128,"Wall St./Pier 11",1105,0,11,81
"ER",1,129,"Wall St./Pier 11",1205,0,12,81
"ER",1,132,"Wall St./Pier 11",1306,0,13,81
"ER",1,133,"Wall St./Pier 11",1506,0,15,81
"ER",1,134,"Wall St./Pier 11",1207,0,12,81
"ER",1,135,"Wall St./Pier 11",1308,0,13,81
"ER",1,136,"Wall St./Pier 11",1508,0,15,81
"ER",1,137,"Wall St./Pier 11",1209,0,12,81
"ER",1,139,"Wall St./Pier 11",1201,0,12,81
"ER",1,140,"Wall St./Pier 11",1302,0,13,81
"ER",1,141,"Wall St./Pier 11",1402,0,14,81
"ER",1,142,"Wall St./Pier 11",1502,0,15,81
"RES",2,175,"Rockaway",10101,0,101,44
"RES",2,176,"Rockaway",10103,0,101,44
"RES",2,177,"Rockaway",10105,0,101,44
"RES",2,187,"Rockaway East",10102,1,101,37
"RES",2,189,"Rockaway East",10104,1,101,37
"RES",2,190,"Rockaway East",10106,1,101,37
"SB",1,240,"Bay Ridge Limited",3202,0,32,79
"SB",1,241,"Bay Ridge Limited",3204,0,32,79
"ER",2,254,"Hunters Point South",1201,1,12,82
"ER",2,255,"Hunters Point South",1102,1,11,82
"RWS",1,258,"Rockaway",20103,0,201,27
"RWS",1,259,"Rockaway",20105,0,201,27
"RWS",1,260,"Rockaway",20107,0,201,27
"ER",2,263,"Hunters Point South",1104,1,11,82
"ER",2,268,"Hunters Point South",1106,1,11,82
"ER",2,273,"Hunters Point South",1108,1,11,82
"ER",2,278,"Hunters Point South",1110,1,11,82
"ER",2,283,"Hunters Point South",1112,1,11,82
"ER",2,284,"Wall St./Pier 11",1101,0,11,81
"ER",2,285,"Wall St./Pier 11",1202,0,12,81
"ER",2,286,"Wall St./Pier 11",1103,0,11,81
"RES",1,287,"Rockaway East",10104,1,101,37
"ER",2,292,"Wall St./Pier 11",1105,0,11,81
"ER",2,297,"Wall St./Pier 11",1107,0,11,81
"ER",2,302,"Wall St./Pier 11",1109,0,11,81
"ER",2,307,"Wall St./Pier 11",1111,0,11,81
"RWS",1,333,"Rockaway West",20104,1,201,38
"AS",1,404,"East 90th St",4305,1,43,107
"AS",1,405,"East 90th St",4206,1,42,107
"AS",1,406,"East 90th St",4307,1,43,107
"AS",1,407,"East 90th St",4208,1,42,107
"AS",1,408,"East 90th St",4309,1,43,107
"AS",1,409,"East 90th St",4210,1,42,107
"AS",1,410,"East 90th St",4311,1,43,107
"AS",1,411,"East 90th St",4106,1,41,107
"AS",1,412,"East 90th St",4212,1,42,107
"AS",1,417,"Wall St./Pier 11",4306,0,43,108
"AS",1,418,"Wall St./Pier 11",4207,0,42,108
"AS",1,419,"Wall St./Pier 11",4308,0,43,108
"AS",1,420,"Wall St./Pier 11",4209,0,42,108
"AS",1,421,"Wall St./Pier 11",4310,0,43,108
"AS",1,422,"Wall St./Pier 11",4211,0,42,108
"AS",1,424,"Wall St./Pier 11",4107,0,41,108
"AS",1,425,"Wall St./Pier 11",4213,0,42,108
"RES",1,462,"Rockaway",10103,0,101,44
"RES",1,463,"Rockaway",10105,0,101,44
"RES",1,464,"Rockaway",10107,0,101,44
"RES",1,465,"Rockaway",10109,0,101,44
"RES",1,466,"Rockaway",10111,0,101,44
"RES",1,467,"Rockaway",10113,0,101,44
"RES",1,478,"Rockaway East",10114,1,101,37
"RWS",1,489,"Rockaway",20113,0,201,27
"RWS",1,499,"Rockaway West",20114,1,201,38
"RW",2,601,"Rockaway",2201,0,22,8
"RW",2,602,"Rockaway",2102,0,21,8
"RW",2,603,"Rockaway",2203,0,22,8
"RW",2,604,"Rockaway",2104,0,21,8
"RW",2,605,"Rockaway",2205,0,22,8
"RW",2,606,"Rockaway",2106,0,21,8
"RW",2,607,"Rockaway",2207,0,22,8
"RW",2,608,"Rockaway",2108,0,21,8
"RW",2,609,"Rockaway",2209,0,22,8
"RW",2,610,"Rockaway",2110,0,21,8
"RW",2,611,"Rockaway",2211,0,22,8
"RW",2,612,"Wall St./Pier 11",2101,1,21,7
"RW",2,613,"Wall St./Pier 11",2202,1,22,7
"RW",2,614,"Wall St./Pier 11",2103,1,21,7
"RW",2,615,"Wall St./Pier 11",2204,1,22,7
"RW",2,616,"Wall St./Pier 11",2105,1,21,7
"RW",2,617,"Wall St./Pier 11",2206,1,22,7
"RW",2,618,"Wall St./Pier 11",2107,1,21,7
"RW",2,619,"Wall St./Pier 11",2208,1,22,7
"RW",2,620,"Wall St./Pier 11",2109,1,21,7
